date,city_public,store_code,store_name_public,gmv,orders,qty,aov,items_per_order,active_sku,oneprice_share,pinghaofan_share
2026-01-01,City_02,S02,Store_02,1991.6,111,140,17.942342342342343,1.2612612612612613,37,0.0,0.0074814219722835
2026-01-01,City_02,S03,Store_03,2322.2000000000003,133,161,17.46015037593985,1.2105263157894737,42,0.0,0.0449143054000516
2026-01-01,City_02,S06,Store_06,2567.0,142,163,18.0774647887324,1.147887323943662,43,0.0,0.0754577327619789
2026-01-01,City_02,S07,Store_07,3109.28,177,183,17.566553672316385,1.0338983050847457,34,0.0,0.0
2026-01-01,City_02,S10,Store_10,1165.84,74,74,15.754594594594591,1.0,28,0.0,0.0
2026-01-02,City_01,S04,Store_04,3405.9,224,267,15.204910714285717,1.1919642857142858,50,0.0,0.078364015385067
2026-01-02,City_01,S05,Store_05,1973.7,132,178,14.952272727272728,1.3484848484848484,45,0.0,0.0477276181790545
2026-01-02,City_01,S08,Store_08,2267.5,133,151,17.048872180451127,1.1353383458646618,43,0.0,0.0692392502756339
2026-01-02,City_01,S09,Store_09,3961.21,261,311,15.17704980842912,1.1915708812260537,55,0.0,0.0
2026-01-02,City_01,S11,Store_11,1911.9,127,141,15.054330708661418,1.110236220472441,46,0.0,0.1395993514305141
2026-01-02,City_01,S12,Store_12,5820.3,371,445,15.688140161725068,1.1994609164420484,57,0.0,0.1025033073896534
2026-01-02,City_01,S13,Store_13,1610.1,100,108,16.101,1.08,36,0.0,0.1755170486305198
2026-01-02,City_02,S01,Store_01,1656.52,105,125,15.776380952380952,1.1904761904761905,40,0.0,0.0796851230290005
2026-01-02,City_02,S02,Store_02,1782.1,104,122,17.135576923076925,1.1730769230769231,39,0.0,0.0418046125357724
2026-01-02,City_02,S03,Store_03,2310.6,128,145,18.0515625,1.1328125,39,0.0,0.0515883320349692
2026-01-02,City_02,S06,Store_06,2374.5,135,145,17.58888888888889,1.0740740740740742,42,0.0,0.0753000631711939
2026-01-02,City_02,S07,Store_07,2602.86,167,174,15.585988023952096,1.0419161676646709,32,0.0,0.0
2026-01-02,City_02,S10,Store_10,1015.78,68,68,14.937941176470588,1.0,26,0.0,0.0
2026-01-03,City_01,S04,Store_04,2718.4,186,218,14.61505376344086,1.1720430107526882,49,0.0,0.1270600353148911
2026-01-03,City_01,S05,Store_05,1153.8,83,103,13.901204819277108,1.2409638554216869,37,0.0,0.1224648985959438
2026-01-03,City_01,S08,Store_08,2392.1,154,185,15.533116883116882,1.2012987012987013,49,0.0,0.0393796245976338
2026-01-03,City_01,S09,Store_09,3906.55,255,307,15.319803921568628,1.203921568627451,51,0.0,0.0401889134914438
