date,gmv,qty,orders,active_sku_sum,oneprice_share,aov,items_per_order
2025-12-29,24486.23,1780,1536,482,0.0,15.941555989583334,1.1588541666666667
2025-12-30,25581.47,1895,1638,493,0.0,15.617503052503054,1.156898656898657
2025-12-31,58385.73,4221,3588,629,0.0,16.272499999999997,1.1764214046822743
2026-01-01,34213.91,2414,2013,552,0.0,16.99647789369101,1.1992051664182812
2026-01-02,32692.97,2380,2055,550,0.0,15.90898783454988,1.1581508515815084
2026-01-03,29860.0,2211,1903,536,0.0,15.691014188124017,1.1618497109826589
2026-01-04,22679.51,1649,1433,484,0.0,15.826594556873692,1.1507327285415212
2026-01-05,22388.66,1749,1474,507,0.0,15.189050203527817,1.1865671641791045
2026-01-06,23895.53,1761,1516,495,0.0,15.76222295514512,1.1616094986807388
2026-01-07,22777.97,1603,1396,487,0.0,16.31659742120344,1.1482808022922637
2026-01-08,22284.48,1608,1400,493,0.0,15.917485714285714,1.1485714285714286
2026-01-09,27305.65,2038,1732,530,0.0,15.765386836027714,1.1766743648960738
2026-01-10,30637.84,2182,1866,514,0.0,16.41899249732047,1.1693461950696675
2026-01-11,28452.710000000003,2105,1800,515,0.0,15.807061111111112,1.1694444444444445
2026-01-12,21770.29,1585,1373,483,0.0,15.85600145666424,1.1544064093226512
2026-01-13,22263.2,1641,1439,482,0.0,15.471299513551076,1.1403752605976372
2026-01-14,26148.22,1849,1587,508,0.0412944480962291,16.47650913673598,1.1650913673597985
2026-01-15,23778.17,1689,1446,503,0.0829899331197202,16.444100968188106,1.1680497925311204
2026-01-16,28381.3,2035,1744,522,0.0633719383881239,16.27368119266055,1.1668577981651376
2026-01-17,30834.42,2148,1831,537,0.0805595047036515,16.8402075368651,1.1731294374658656
2026-01-18,32210.48,2308,1970,536,0.0675426900700804,16.350497461928935,1.1715736040609137
2026-01-19,26905.1,1897,1635,495,0.0772510296892151,16.455718654434254,1.1602446483180429
2026-01-20,27138.12,1908,1648,500,0.0788757666515478,16.46730582524272,1.1577669902912622
2026-01-21,25396.33,1778,1542,495,0.0699113711392368,16.469734111543453,1.153047989623865
2026-01-22,24666.7,1759,1518,484,0.1061940344885936,16.24947299077734,1.1587615283267456
2026-01-23,26410.09,1794,1566,505,0.1984726569062074,16.864680715197956,1.1455938697318009
2026-01-24,28821.08,1977,1712,527,0.1849615163017871,16.834742990654206,1.1547897196261685
2026-01-25,28157.56,1893,1633,505,0.1907623852123581,17.242841396203307,1.159216166564605
2026-01-26,25228.87,1669,1447,470,0.2430874340286073,17.43529371112647,1.1534208707671043
2026-01-27,22024.78,1513,1304,453,0.1893170425434835,16.89016871165644,1.1602760736196318
2026-01-28,21217.05,1509,1278,427,0.1683926142657624,16.60176056338028,1.1807511737089202
2026-01-29,22402.58,1587,1372,470,0.1465531519911497,16.328411078717203,1.1567055393586003
